yyyy/mm/dd, hh:mm:ss, timeElapsed, TPM1, TPM2.5, TPM10, PM1, PM2.5, PM10, CO2, TempC, Humidity, NO, NO2, O3, CO2raw, workNO2, auxNO2, workO3, auxO3, labNO, labNO2, labO3, labCO2, labTPM25, labPM25
2016/7/5, 15:58:32, 64, 14, 19, 25, 14, 19, 25, 457.99, 24.70, 64.69, -50.03, -1353.55, 625.21, 234.26, 174.21, 202.26, 231.89, 196.85, -50.03, -1353.55, 625.21, 457.99, 19.00, 19.00
2016/7/5, 15:59:33, 124, 12, 16, 18, 11, 16, 18, 460.06, 24.74, 65.37, -17.13, -1223.67, 343.75, 235.32, 173.26, 195.26, 226.32, 204.08, -17.13, -1223.67, 343.75, 460.06, 16.00, 16.00
2016/7/5, 16:0:34, 185, 68, 88, 99, 44, 58, 68, 459.51, 24.77, 64.98, -42.67, -1171.79, 478.64, 235.04, 170.58, 191.19, 233.83, 198.89, -42.67, -1171.79, 478.64, 459.51, 88.00, 58.00
2016/7/5, 16:1:34, 246, 59, 74, 82, 38, 48, 61, 460.22, 24.79, 64.81, 31.89, -1322.71, 737.79, 235.40, 169.06, 197.87, 236.33, 192.06, 31.89, -1322.71, 737.79, 460.22, 74.00, 48.00
2016/7/5, 16:2:35, 307, 49, 60, 65, 32, 42, 53, 466.80, 24.83, 64.64, -121.61, -1323.09, 681.09, 238.77, 170.44, 198.65, 235.06, 194.40, -121.61, -1323.09, 681.09, 466.80, 60.00, 42.00
2016/7/5, 16:3:35, 367, 41, 53, 60, 28, 39, 51, 467.10, 24.86, 64.46, -7.31, -1296.99, 537.87, 238.92, 171.43, 197.90, 223.27, 195.06, -7.31, -1296.99, 537.87, 467.10, 53.00, 39.00
2016/7/5, 16:4:36, 428, 35, 43, 47, 25, 35, 43, 456.70, 24.91, 64.24, -30.22, -1380.03, 692.10, 233.60, 185.58, 209.91, 228.21, 192.47, -30.22, -1380.03, 692.10, 456.70, 43.00, 35.00
2016/7/5, 16:5:36, 488, 27, 36, 39, 22, 31, 38, 474.74, 24.95, 64.02, -104.70, -1330.42, 572.56, 242.83, 174.75, 201.42, 222.43, 194.04, -104.70, -1330.42, 572.56, 474.74, 36.00, 31.00
2016/7/5, 16:6:37, 549, 24, 30, 33, 20, 28, 33, 470.97, 24.98, 63.80, -124.42, -1478.71, 680.72, 240.90, 169.98, 206.16, 228.71, 196.90, -124.42, -1478.71, 680.72, 470.97, 30.00, 28.00
2016/7/5, 16:7:37, 609, 21, 25, 28, 19, 25, 28, 467.97, 25.03, 63.57, -27.42, -1555.06, 722.17, 239.37, 172.88, 211.58, 239.35, 202.83, -27.42, -1555.06, 722.17, 467.97, 25.00, 25.00
