yyyy.mm.dd,hh.mm.ss,TPM1,TPM2.5,TPM10,PM1,PM2.5,PM10,CO2,TempC,Humidity,NO,CO,NO2,O3,DateTime
2000/1/10, 17:32:59,14,17,19,10,12,26,473.21,23.04,55.55,618.83,-583.48,-848.5,985.37,2000-01-10 17:32:59
2000/1/10, 17:33:58,88,107,116,59,73,77,470.12,23.03,54.83,612.25,-218.42,-1165.3,1384.59,2000-01-10 17:33:58
2000/1/10, 17:34:57,90,113,122,59,74,78,472.48,22.98,54.72,551.39,-131.67,-972.13,1168.75,2000-01-10 17:34:57
2000/1/10, 17:35:56,73,93,104,54,66,69,497.94,22.95,54.75,478.87,-122.76,-1089.58,1377.27,2000-01-10 17:35:56
2000/1/10, 17:36:55,60,78,84,54,60,57,494.99,22.94,54.79,506.06,-216.55,-883.42,811.37,2000-01-10 17:36:55
2000/1/10, 17:37:54,54,67,72,36,47,61,510.99,22.94,54.79,311.5,36.68,-1015.86,1053.67,2000-01-10 17:37:54
2000/1/10, 17:38:53,47,58,64,32,43,56,498.03,22.95,54.77,360.71,-328.16,-995.37,1030.63,2000-01-10 17:38:53
2000/1/10, 17:39:52,41,51,54,30,40,54,504.04,22.96,54.71,199.49,-177.62,-959.13,1276.05,2000-01-10 17:39:52
2000/1/10, 17:40:51,34,42,47,27,36,50,498.35,22.97,54.66,488.58,-128.39,-910.9,1135.43,2000-01-10 17:40:51
2000/1/10, 17:41:50,30,37,41,25,33,47,483.71,22.98,54.61,361.03,-205.29,-868.17,1276.14,2000-01-10 17:41:50
2000/1/10, 17:42:49,26,31,35,22,30,41,493.44,22.99,54.56,525.81,-143.86,-863.42,1104.25,2000-01-10 17:42:49
2000/1/10, 17:43:48,22,28,30,21,28,39,498.49,23.03,54.46,322.83,-62.26,-1089.83,1789.83,2000-01-10 17:43:48
2000/1/10, 17:44:47,19,25,27,19,25,36,486.53,23.05,54.36,626.17,-98.37,-963.88,1298.05,2000-01-10 17:44:47
2000/1/10, 17:45:46,16,19,22,16,19,31,495.12,23.08,54.28,580.2,-270.01,-881.92,876.88,2000-01-10 17:45:46
2000/1/10, 17:46:45,13,18,19,13,18,30,504.04,23.08,54.23,520.31,-345.04,-1049.1,1660.46,2000-01-10 17:46:45
2000/1/10, 17:47:44,12,15,16,12,15,26,499.12,23.1,54.16,375.6,-195.44,-1012.61,1041.61,2000-01-10 17:47:44
2000/1/10, 17:48:43,10,12,14,10,12,25,479.67,23.12,54.09,686.06,-88.06,-1160.05,1502.99,2000-01-10 17:48:43
2000/1/10, 17:49:42,8,11,12,8,11,25,500.08,23.14,54.03,553.98,-90.87,-1012.61,1341.89,2000-01-10 17:49:42
2000/1/10, 17:50:41,7,9,10,7,9,23,479.76,23.15,53.98,525.81,-205.76,-936.64,1441.47,2000-01-10 17:50:41
2000/1/10, 17:51:40,6,7,7,6,7,21,489.3,23.17,53.92,417.04,-190.29,-886.16,961.78,2000-01-10 17:51:40
2000/1/10, 17:52:39,5,6,7,5,6,19,485.49,23.19,53.87,393.73,-318.31,-1083.58,1471.96,2000-01-10 17:52:39
2000/1/10, 17:53:38,3,5,6,3,5,21,500.49,23.2,53.81,493.12,-179.5,-861.92,1296.03,2000-01-10 17:53:38
2000/1/10, 17:54:37,3,4,5,3,4,17,494.31,23.22,53.75,468.19,194.72,-988.62,1560.5,2000-01-10 17:54:37
2000/1/10, 17:55:36,1,3,4,1,3,16,501.63,23.23,53.7,559.48,-204.35,-927.4,1145.29,2000-01-10 17:55:36
