yyyy.mm.dd,hh.mm.ss,TPM1,TPM2.5,TPM10,PM1,PM2.5,PM10,CO2,TempC,Humidity,NO,CO,NO2,O3,DateTime
2000/1/4, 20:22:32,1,2,2,1,2,16,533.68,22.89,55.29,371.62,70.49,-803.14,1485.13,2016-06-01 15:20:00
2000/1/4, 20:23:30,31,38,41,21,28,42,531.54,22.84,55.17,495.98,76.06,-899.12,1941.55,2016-06-01 15:20:58
2000/1/4, 20:24:29,82,102,111,54,68,76,535.59,22.7,55.21,571.88,25.17,-818.27,1719.38,2016-06-01 15:21:57
2000/1/4, 20:25:28,71,89,99,57,71,68,530.51,22.57,55.38,504.59,-4.6,-934.43,1785.35,2016-06-01 15:22:56
2000/1/4, 20:26:27,57,70,78,48,58,57,529.72,22.53,55.49,620.6,202.81,-868.42,1620.12,2016-06-01 15:23:55
2000/1/4, 20:27:26,51,64,70,40,52,57,531.82,22.51,55.53,548.67,-123.66,-860.49,1555.15,2016-06-01 15:24:54
2000/1/4, 20:28:25,40,49,56,31,42,56,525.76,22.52,55.54,639.82,246.98,-890.17,2032.7,2016-06-01 15:25:53
2000/1/4, 20:29:24,37,46,50,30,40,53,535.54,22.53,55.53,737.93,105.35,-867.91,1850.59,2016-06-01 15:26:52
2000/1/4, 20:30:23,30,36,42,26,35,46,529.86,22.53,55.5,721.69,67.9,-887.61,2039.37,2016-06-01 15:27:51
2000/1/4, 20:31:22,27,33,35,24,32,43,531.54,22.55,55.45,649.43,195.13,-893.24,1910.13,2016-06-01 15:28:50
2000/1/4, 20:32:20,22,28,31,21,28,36,534.84,22.57,55.38,693.18,4.53,-938.27,1904.1,2016-06-01 15:29:48
2000/1/4, 20:33:19,19,26,27,19,26,36,544.29,22.59,55.31,517.52,148.08,-921.89,1832.24,2016-06-01 15:30:47
2000/1/4, 20:34:18,17,20,22,17,20,30,543.31,22.61,55.22,535.75,-34.36,-909.1,1743.16,2016-06-01 15:31:46
2000/1/4, 20:35:17,14,18,21,14,18,31,527.49,22.63,55.15,742.57,89.99,-809.32,1750.09,2016-06-01 15:32:45
2000/1/4, 20:36:16,13,16,17,13,16,27,534.84,22.64,55.09,545.36,41.02,-858.95,2035.28,2016-06-01 15:33:44
2000/1/4, 20:37:15,10,12,14,10,12,14,534.28,22.66,55.02,695.83,259.95,-952.08,2069.87,2016-06-01 15:34:43
2000/1/4, 20:38:14,10,11,12,10,11,12,531.12,22.67,54.96,635.51,139.92,-969.23,2132.89,2016-06-01 15:35:42
2000/1/4, 20:39:13,9,10,13,9,11,12,543.64,22.7,54.89,772.4,99.11,-847.95,1790.17,2016-06-01 15:36:41
2000/1/4, 20:40:12,6,8,11,6,9,11,536.66,22.72,54.82,628.55,120.71,-838.23,1876.49,2016-06-01 15:37:40
2000/1/4, 20:41:10,5,7,8,5,7,8,540.19,22.73,54.76,467.8,10.29,-989.18,1871.69,2016-06-01 15:38:38
2000/1/4, 20:42:9,3,5,5,3,5,5,526.37,22.75,54.7,729.31,146.64,-826.21,1954.1,2016-06-01 15:39:37
2000/1/4, 20:43:8,3,3,3,3,3,3,541.5,22.77,54.63,619.27,170.64,-888.63,1904.27,2016-06-01 15:40:36
2000/1/4, 20:44:7,3,4,4,3,4,4,531.49,22.78,54.58,582.15,117.35,-768.13,1647.31,2016-06-01 15:41:35
2000/1/4, 20:45:6,3,3,3,3,3,3,535.82,22.8,54.52,724.34,154.32,-859.21,1854.36,2016-06-01 15:42:34
2000/1/4, 20:46:5,2,3,3,2,3,3,539.4,22.82,54.47,725.66,79.42,-783.22,1706.22,2016-06-01 15:43:33
2000/1/4, 20:47:4,2,3,3,2,3,3,541.4,22.83,54.42,571.54,112.07,-723.87,1640.31,2016-06-01 15:44:32
2000/1/4, 20:48:3,1,2,2,1,2,2,530.09,22.85,54.36,544.37,41.02,-853.33,2053.64,2016-06-01 15:45:31
2000/1/4, 20:49:2,1,1,3,81,82,83,532.89,22.88,54.26,639.82,-19,-907.05,1996.02,2016-06-01 15:46:30
2000/1/4, 20:50:0,0,1,1,89,89,89,528.05,22.9,54.19,561.6,77.98,-793.97,1745.46,2016-06-01 15:47:28
2000/1/4, 20:50:59,0,0,0,115,91,107,541.64,22.92,54.13,669.65,272.91,-937.24,1833.19,2016-06-01 15:48:27
2000/1/4, 20:51:58,11,12,12,138,118,118,544.2,22.95,54.05,545.03,244.1,-810.34,1698.55,2016-06-01 15:49:26
2000/1/4, 20:52:57,11,11,0,98,68,60,540.19,22.96,53.99,607.34,86.63,-904.24,1911.39,2016-06-01 15:50:25
2000/1/4, 20:53:56,0,0,1,106,74,86,525.62,22.97,53.93,638.83,-73.73,-795.76,1327.2,2016-06-01 15:51:24
2000/1/4, 20:54:55,0,0,0,64,48,40,540.15,22.99,53.89,610.98,57.82,-739.22,1752.15,2016-06-01 15:52:23
2000/1/4, 20:55:54,0,0,0,15,7,7,528,23.01,53.82,519.84,28.53,-804.71,1895.06,2016-06-01 15:53:22
2000/1/4, 20:56:53,0,0,0,0,0,0,534.89,23.03,53.77,619.6,-6.04,-795.25,1782.06,2016-06-01 15:54:21
2000/1/4, 20:57:52,0,0,0,16,8,8,544.66,23.05,53.73,541.38,5.49,-871.49,2072.48,2016-06-01 15:55:20
2000/1/4, 20:58:50,0,0,0,0,0,0,526.65,23.06,53.69,682.24,263.31,-811.88,1830.13,2016-06-01 15:56:18
2000/1/4, 20:59:49,0,0,0,0,0,0,534.47,23.07,53.69,593.75,-161.59,-787.06,1556.94,2016-06-01 15:57:17
2000/1/4, 21:0:48,0,0,0,0,0,0,540.24,23.08,53.69,529.12,111.59,-789.36,1824.74,2016-06-01 15:58:16
2000/1/4, 21:1:47,0,0,0,0,0,0,537.17,23.1,53.67,676.28,57.34,-843.35,1616.15,2016-06-01 15:59:15
2000/1/4, 21:2:46,0,0,0,0,0,0,539.96,23.14,53.64,648.77,156.24,-861,1831.29,2016-06-01 16:00:14
2000/1/4, 21:3:45,0,0,0,0,0,0,536.47,23.16,53.63,531.77,172.57,-842.07,1788.7,2016-06-01 16:01:13
2000/1/4, 21:4:44,0,0,0,0,0,0,530.33,23.17,53.65,580.49,210.01,-885.05,1784.33,2016-06-01 16:02:12
2000/1/4, 21:5:43,0,0,0,0,0,0,538.29,23.17,53.7,634.19,83.74,-881.73,1811.93,2016-06-01 16:03:11
2000/1/4, 21:6:42,0,0,0,0,0,0,531.21,23.19,53.73,652.75,-19.96,-951.83,1997.49,2016-06-01 16:04:10
2000/1/4, 21:7:40,0,0,0,0,0,0,534.33,23.19,53.76,672.96,191.29,-761.99,1477.82,2016-06-01 16:05:08
2000/1/4, 21:8:39,0,0,0,0,0,0,541.45,23.21,53.78,581.16,24.21,-734.36,1706.49,2016-06-01 16:06:07
