...New Logging Session...2000/1/1, 0:1:6, 
yyyy/mm/dd, hh:mm:ss, timeElapsed, TPM1, TPM2.5, TPM10, PM1, PM2.5, PM10, CO2, TempC, Humidity, NO, NO2, O3, CO2raw, workNO2, auxNO2, workO3, auxO3, labNO, labNO2, labO3, labCO2, labTPM25, labPM25
2000/1/1, 0:2:8, 64, 2, 4, 7, 2, 4, 7, 1172.08, 21.97, 57.93, 0.00, 463.04, 2138.39, 599.52, 219.43, 175.52, 265.09, 175.52, 0.00, 463.04, 2138.39, 1172.08, 4.00, 4.00
2000/1/1, 0:3:8, 124, 1, 3, 5, 1, 3, 5, 1165.02, 21.74, 58.36, 0.00, 504.99, 1878.64, 1206.74, 453.23, 360.68, 528.51, 360.68, 0.00, 504.99, 1878.64, 1165.02, 3.00, 3.00
2000/1/1, 0:4:8, 184, 2, 3, 4, 2, 3, 4, 1133.88, 21.62, 58.71, 0.00, 565.21, 1974.47, 1786.72, 678.04, 532.08, 789.38, 532.08, 0.00, 565.21, 1974.47, 1133.88, 3.00, 3.00
...New Logging Session...2000/1/1, 0:4:37, 
yyyy/mm/dd, hh:mm:ss, timeElapsed, TPM1, TPM2.5, TPM10, PM1, PM2.5, PM10, CO2, TempC, Humidity, NO, NO2, O3, CO2raw, workNO2, auxNO2, workO3, auxO3, labNO, labNO2, labO3, labCO2, labTPM25, labPM25
2000/1/1, 0:5:38, 64, 2, 3, 5, 2, 3, 5, 1127.73, 21.50, 59.15, 0.00, 432.40, 1693.87, 576.83, 271.15, 230.09, 311.63, 230.09, 0.00, 432.40, 1693.87, 1127.73, 3.00, 3.00
2000/1/1, 0:6:39, 124, 2, 4, 4, 2, 4, 4, 1128.98, 21.49, 59.18, 0.00, 464.85, 1658.58, 1165.19, 548.79, 462.89, 628.66, 462.89, 0.00, 464.85, 1658.58, 1128.98, 4.00, 4.00
2000/1/1, 0:7:39, 184, 2, 4, 6, 2, 4, 6, 1119.83, 21.57, 58.94, 0.00, 58.95, 2542.29, 1737.98, 780.70, 688.49, 942.43, 688.49, 0.00, 58.95, 2542.29, 1119.83, 4.00, 4.00
2000/1/1, 0:8:39, 244, 1, 2, 3, 1, 2, 3, 1131.15, 21.52, 58.99, 0.00, 7.45, 2359.67, 2316.57, 1010.32, 916.60, 1256.21, 916.60, 0.00, 7.45, 2359.67, 1131.15, 2.00, 2.00
2000/1/1, 0:9:39, 304, 1, 2, 4, 1, 2, 4, 1139.01, 21.50, 59.06, 0.00, -6.14, 2447.51, 2899.17, 1240.74, 1146.77, 1562.30, 1146.77, 0.00, -6.14, 2447.51, 1139.01, 2.00, 2.00
...New Logging Session...2000/1/1, 0:11:43, 
yyyy/mm/dd, hh:mm:ss, timeElapsed, TPM1, TPM2.5, TPM10, PM1, PM2.5, PM10, CO2, TempC, Humidity, NO, NO2, O3, CO2raw, workNO2, auxNO2, workO3, auxO3, labNO, labNO2, labO3, labCO2, labTPM25, labPM25
2000/1/1, 0:12:45, 64, 1, 2, 2, 1, 2, 2, 1048.73, 21.49, 59.34, 0.00, 127.94, 2183.25, 536.43, 203.70, 190.98, 274.61, 190.98, 0.00, 127.94, 2183.25, 1048.73, 2.00, 2.00
...New Logging Session...2000/1/1, 0:13:19, 
