Box01_37_03_04...New Logging Session...2016/6/21, 16:16:57, 
yyyy/mm/dd, hh:mm:ss, timeElapsed, TPM1, TPM2.5, TPM10, PM1, PM2.5, PM10, CO2, TempC, Humidity, NO, NO2, O3, CO2raw, workNO2, auxNO2, workO3, auxO3, labNO, labNO2, labO3, labCO2, labTPM25, labPM25
2016/6/21, 16:17:59, 64, 10, 13, 14, 10, 13, 14, 771.41, 21.91, 60.61, 0.00, -7.81, 64.01, 394.57, 1023.00, 1023.00, 1023.00, 1023.00, 0.00, -7.81, 64.01, 771.41, 13.00, 13.00
2016/6/21, 16:19:0, 124, 9, 12, 13, 9, 12, 13, 763.55, 21.94, 60.45, 0.00, -7.81, 64.01, 390.56, 1023.00, 1023.00, 1023.00, 1023.00, 0.00, -7.81, 64.01, 763.55, 12.00, 12.00
2016/6/21, 16:20:0, 185, 11, 14, 16, 11, 14, 16, 763.80, 21.91, 60.51, 0.00, -7.81, 64.01, 390.69, 1023.00, 1023.00, 1023.00, 1023.00, 0.00, -7.81, 64.01, 763.80, 14.00, 14.00
2016/6/21, 16:21:1, 245, 12, 15, 15, 12, 15, 15, 759.75, 21.86, 60.62, 0.00, -7.81, 64.01, 388.61, 1023.00, 1023.00, 1023.00, 1023.00, 0.00, -7.81, 64.01, 759.75, 15.00, 15.00
2016/6/21, 16:22:1, 306, 11, 14, 16, 11, 14, 16, 770.36, 21.81, 60.65, 0.00, -7.81, 64.01, 394.04, 1023.00, 1023.00, 1023.00, 1023.00, 0.00, -7.81, 64.01, 770.36, 14.00, 14.00
2016/6/21, 16:23:1, 366, 11, 13, 14, 11, 13, 14, 761.39, 21.77, 60.91, 0.00, -7.81, 64.01, 389.45, 1023.00, 1023.00, 1023.00, 1023.00, 0.00, -7.81, 64.01, 761.39, 13.00, 13.00
2016/6/21, 16:24:1, 426, 10, 13, 14, 10, 13, 14, 751.54, 21.76, 61.04, 0.00, -7.81, 64.01, 384.42, 1023.00, 1023.00, 1023.00, 1023.00, 0.00, -7.81, 64.01, 751.54, 13.00, 13.00
2016/6/21, 16:25:2, 487, 10, 12, 14, 10, 12, 14, 752.69, 21.75, 61.23, 0.00, -7.81, 64.01, 385.00, 1023.00, 1023.00, 1023.00, 1023.00, 0.00, -7.81, 64.01, 752.69, 12.00, 12.00
2016/6/21, 16:26:2, 547, 10, 14, 15, 10, 14, 15, 754.93, 21.75, 61.24, 0.00, -7.81, 64.01, 386.15, 1023.00, 1023.00, 1023.00, 1023.00, 0.00, -7.81, 64.01, 754.93, 14.00, 14.00
2016/6/21, 16:27:3, 608, 11, 14, 15, 11, 14, 15, 750.37, 21.78, 61.24, 0.00, -7.81, 64.01, 383.81, 1023.00, 1023.00, 1023.00, 1023.00, 0.00, -7.81, 64.01, 750.37, 14.00, 14.00
